C,Mn,Si,Ni,Cr,Mo,V,P,S,Austenitizing_Temp_C,Tempering_Temp_C,Tempering_Time_Hours,Hardness_HRC
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,916.6505707650562,204.4,0.16666666666666666,50.6
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,913.4756784941441,260.0,0.16666666666666666,48.3
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,917.4054426905035,315.6,0.16666666666666666,43.7
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,921.7821492820401,371.1,0.16666666666666666,40.5
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,912.9962331263833,426.7,0.16666666666666666,37.3
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,912.9963152152541,482.2,0.16666666666666666,31.2
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,922.063064077537,537.8,0.16666666666666666,26.2
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,918.0041736457646,593.3,0.16666666666666666,23.1
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,911.8196280703253,648.9,0.16666666666666666,17.3
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,916.8798002179299,704.4,0.16666666666666666,11.7
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,911.8499115359377,204.4,1.0,48.9
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,911.8383512321487,260.0,1.0,45.9
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,915.3768113578302,315.6,1.0,42.5
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,904.6005987767111,371.1,1.0,39.2
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,905.5424108374349,426.7,1.0,33.4
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,911.3555623537952,482.2,1.0,28.5
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,909.1028443983279,537.8,1.0,22.6
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,915.7382366629764,648.9,1.0,12.6
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,909.626879622394,704.4,1.0,8.6
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,907.1054814933236,204.4,4.0,47.6
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,921.4952438446078,260.0,4.0,44.7
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,913.0381184975673,315.6,4.0,40.9
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,914.5046410234396,371.1,4.0,37.1
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,907.0432590689328,426.7,4.0,31.6
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,911.4450863773741,482.2,4.0,26.2
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,914.7216129485494,537.8,4.0,20.7
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,908.4120321128885,593.3,4.0,15.0
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,916.0454900917284,648.9,4.0,9.4
0.25,0.79,0.11,0.0,0.0,0.0,0.0,0.012,0.026,911.163806550406,704.4,4.0,7.0
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,899.3305312510337,204.4,0.16666666666666666,52.1
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,897.7804669388531,260.0,0.16666666666666666,49.1
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,910.0503909225448,315.6,0.16666666666666666,44.3
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,900.7215138763104,371.1,0.16666666666666666,40.2
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,895.5004453552206,426.7,0.16666666666666666,37.5
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,904.9017245605161,482.2,0.16666666666666666,30.4
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,894.684781750145,537.8,0.16666666666666666,25.8
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,901.8333179750239,593.3,0.16666666666666666,22.1
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,890.9906493806012,648.9,0.16666666666666666,15.5
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,894.148069755508,704.4,0.16666666666666666,13.1
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,901.7733061793457,204.4,1.0,49.3
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,904.4813328999771,260.0,1.0,45.9
0.31,0.57,0.09,0.02,0.02,0.0,0.0,0.008,0.025,901.6458414059499,315.6,1.0,42.2
